                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.0386,                 2.6844,                 2.6051,                0.75553,                0.25559,                0.30107,                0.15778,                   1.77,                 2.4411,                 2.3693,               0.000854,               0.000854,               0.000854
                     34,                 1.9981,                   2.52,                 2.5389,                0.75028,                0.24192,                0.30907,                0.14341,                 1.8205,                 2.3686,                 2.4075,             0.00084162,             0.00084162,             0.00084162
                     35,                 2.0287,                 2.5909,                 2.5639,                0.74636,                0.26139,                0.34523,                0.17126,                 1.7581,                 2.6046,                 2.3648,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.9807,                 2.5005,                 2.5422,                0.73611,                0.24736,                0.41554,                0.19439,                 1.7775,                 2.6875,                 2.3645,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.9447,                 2.4712,                 2.4799,                0.76079,                0.21033,                0.32779,                0.14672,                 1.8846,                 2.5759,                 2.4308,              0.0008045,              0.0008045,              0.0008045
                     38,                  1.908,                 2.3797,                 2.4544,                0.71861,                0.29713,                0.46029,                0.24665,                 1.7487,                 2.3544,                 2.3279,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.8938,                 2.3781,                 2.4691,                0.77111,                0.27543,                0.39542,                0.19344,                 1.8307,                  2.625,                 2.4087,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.8756,                 2.4085,                 2.4406,                 0.7755,                0.24532,                0.41841,                0.22677,                 1.7175,                 2.4262,                 2.3173,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.8163,                 2.2824,                 2.4008,                0.89918,                0.21945,                0.43469,                0.23955,                 1.6638,                 2.1372,                 2.2666,               0.000755,               0.000755,               0.000755
                     42,                 1.8532,                  2.219,                 2.3168,                0.77884,                 0.2852,                0.38227,                0.21297,                  1.738,                 2.1492,                 2.3177,             0.00074263,             0.00074263,             0.00074263
